,timestamp,user,nofol,retfl,noret,nofav,text,picurl,time,date
1000,2016-12-19 11:52:00,PritiKapoor4,5,False,0,0,@GHMCOnline @KTRTRS this crossroad is manned by traffic during peak times there has to proactiveness between the 2 depts,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,11:52:00,2016-12-19
1001,2016-12-19 11:51:00,PritiKapoor4,5,False,0,0,@GHMCOnline @KTRTRS it would appreciated if Hyderabad traffic police also identified probelms and bought to ghmc notice.,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,11:51:00,2016-12-19
1002,2016-12-19 11:49:00,PritiKapoor4,5,False,0,0,@GHMCOnline @KTRTRS the kingkothi crossroad leading to kingkothi hosiptal and one leading to Hyderguda are bumpy slowing traffic,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,11:49:00,2016-12-19
1003,2016-12-19 11:46:00,srkolipa7,37,False,0,0,@MinIT_Telangana @KTRTRS answer about city bus drivers reckless driving. Most of he driver's never respect lane disciple and civic sense.,http://pbs.twimg.com/profile_images/690560898939772930/KxG4_E-0_normal.jpg,11:46:00,2016-12-19
1004,2016-12-19 11:16:00,PritiKapoor4,5,False,0,0,@GHMCOnline @KTRTRS i am not sure if door to door collection garbage is happening in this area for accumaltion so much garbage in this area,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,11:16:00,2016-12-19
1005,2016-12-19 11:14:00,PritiKapoor4,5,False,0,0,@GHMCOnline @KTRTRS Jcb machines are firstly required to cleared existing  the debris than placed,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,11:14:00,2016-12-19
1006,2016-12-19 11:12:00,PritiKapoor4,5,False,0,0,@GHMCOnline @KTRTRS this garbage bins placed outside Kamineni Hospitals opp eden bagh is blocking the road causing… https://t.co/p5ZwYFKFpJ,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,11:12:00,2016-12-19
1007,2016-12-19 10:50:00,lan2in,269,False,0,0,@TsspdclCorporat @KTRTRS @TOIHyderabad - Where is power ?,http://pbs.twimg.com/profile_images/462364243468107776/QjrlA8gY_normal.jpeg,10:50:00,2016-12-19
1008,2016-12-19 09:58:00,IamSyedAleem,16710,True,40,0,"RT @MinIT_Telangana: Minister @KTRTRS is currently chairing a review meeting on @GHMCOnline issues along with Hyderabad Ministers, MLAs, ML…",http://pbs.twimg.com/profile_images/810552140422725632/nDw1wLzG_normal.jpg,09:58:00,2016-12-19
1009,2016-12-19 09:57:00,IamSyedAleem,16710,True,31,0,RT @KTRTRS: Welcome @dasyamofficial to Twitter. One of the most popular mass leaders of TRS. Great job @artrepubliq in bringing him to Soci…,http://pbs.twimg.com/profile_images/810552140422725632/nDw1wLzG_normal.jpg,09:57:00,2016-12-19
1010,2016-12-19 09:57:00,IamSyedAleem,16710,True,12,0,RT @KTRTRS: @GHMCOnline please have this checked https://t.co/9yYwuPkDRj,http://pbs.twimg.com/profile_images/810552140422725632/nDw1wLzG_normal.jpg,09:57:00,2016-12-19
1011,2016-12-19 09:57:00,IamSyedAleem,16710,True,36,0,RT @KTRTRS: Will do my best. Send me more details https://t.co/QBUjy4w3xN,http://pbs.twimg.com/profile_images/810552140422725632/nDw1wLzG_normal.jpg,09:57:00,2016-12-19
